Systematic ID,revised_cluster
SPAC1002.03c,level_0
SPAC1002.04c,level_8
SPAC1002.05c,level_0
SPAC1002.06c,level_0
SPAC1002.07c,level_0
SPAC1002.08c,level_4
SPAC1002.09c,level_4
SPAC1002.10c,level_9
SPAC1002.11,level_8
SPAC1002.12c,level_0
SPAC1002.13c,level_7
SPAC1002.14,level_0
SPAC1002.15c,level_1
SPAC1002.16c,level_0
SPAC1002.17c,level_0
SPAC1002.18,level_0
SPAC1002.19,level_0
SPAC1002.20,level_0
SPAC1006.01,level_1
SPAC1006.03c,level_1
SPAC1006.04c,level_0
SPAC1006.06,level_0
SPAC1006.07,Miscellaneous
SPAC1006.08,level_9
SPAC1006.09,level_0
SPAC1039.01,level_0
SPAC1039.02,level_0
SPAC1039.03,level_0
SPAC1039.04,level_0
SPAC1039.05c,level_0
SPAC1039.06,level_0
SPAC1039.07c,level_0
SPAC1039.08,level_0
SPAC1039.09,level_0
SPAC1039.10,level_0
SPAC1039.11c,level_0
SPAC105.01c,level_0
SPAC105.03c,level_0
SPAC1071.01c,level_8
SPAC1071.02,level_4
SPAC1071.03c,level_0
SPAC1071.04c,level_0
SPAC1071.05,level_0
SPAC1071.06,level_0
SPAC1071.09c,level_1
SPAC1071.10c,level_10
SPAC1071.12c,level_0
SPAC1071.13,level_0
SPAC1093.01,level_1
SPAC1093.02,level_0
SPAC1093.03,level_0
SPAC1093.04c,level_9
SPAC1093.05,level_9
SPAC1093.06c,level_1
SPAC10F6.01c,level_2
SPAC10F6.02c,level_9
SPAC10F6.03c,level_11
SPAC10F6.04,level_1
SPAC10F6.05c,level_0
SPAC10F6.06,level_1
SPAC10F6.08c,level_1
SPAC10F6.09c,level_8
SPAC10F6.10,level_9
SPAC10F6.12c,level_0
SPAC10F6.13c,level_6
SPAC10F6.14c,level_0
SPAC10F6.15,level_0
SPAC10F6.16,level_0
SPAC10F6.17c,level_0
SPAC110.01,level_0
SPAC110.02,level_0
SPAC110.03,level_10
SPAC110.04c,level_9
SPAC110.06,level_0
SPAC1142.01,level_0
SPAC1142.02c,level_0
SPAC1142.03c,level_0
SPAC1142.04,level_10
SPAC1142.05,level_3
SPAC1142.06,level_0
SPAC1142.07c,level_5
SPAC1142.08,level_1
SPAC1142.09,level_0
SPAC11D3.02c,level_0
SPAC11D3.03c,level_0
SPAC11D3.04c,level_0
SPAC11D3.05,level_0
SPAC11D3.06,level_0
SPAC11D3.07c,level_0
SPAC11D3.08c,level_0
SPAC11D3.09,level_0
SPAC11D3.10,level_0
SPAC11D3.11c,level_0
SPAC11D3.13,level_0
SPAC11D3.14c,level_0
SPAC11D3.15,level_0
SPAC11D3.16c,level_0
SPAC11D3.17,level_0
SPAC11D3.18c,level_0
SPAC11D3.19,level_0
SPAC11D3.20,level_0
SPAC11E3.01c,level_1
SPAC11E3.02c,level_3
SPAC11E3.03,level_2
SPAC11E3.04c,level_0
SPAC11E3.05,level_5
SPAC11E3.06,level_0
SPAC11E3.07,level_4
SPAC11E3.08c,level_2
SPAC11E3.09,level_1
SPAC11E3.10,level_0
SPAC11E3.11c,level_0
SPAC11E3.12,level_0
SPAC11E3.13c,level_0
SPAC11E3.14,level_0
SPAC11G7.01,level_1
SPAC11G7.02,level_6
SPAC11G7.03,level_2
SPAC11G7.06c,level_0
SPAC11H11.01,level_0
SPAC11H11.02c,level_0
SPAC11H11.03c,level_0
SPAC11H11.04,level_0
SPAC11H11.05c,level_0
SPAC11H11.06,level_9
SPAC1250.01,level_7
SPAC1250.02,level_0
SPAC1250.03,level_0
SPAC1250.05,level_0
SPAC1296.01c,level_0
SPAC1296.02,level_1
SPAC1296.03c,level_0
SPAC1296.05c,level_0
SPAC1296.06,level_7
SPAC12B10.01c,level_1
SPAC12B10.02c,level_0
SPAC12B10.03,level_0
SPAC12B10.04,level_0
SPAC12B10.05,level_0
SPAC12B10.06c,level_0
SPAC12B10.07,level_0
SPAC12B10.08c,level_2
SPAC12B10.09,level_0
SPAC12B10.10,level_0
SPAC12B10.11,level_1
SPAC12B10.12c,level_0
SPAC12B10.14c,level_0
SPAC12B10.16c,level_0
SPAC12G12.01c,level_0
SPAC12G12.02,level_8
SPAC12G12.03,level_0
SPAC12G12.04,level_8
SPAC12G12.06c,level_9
SPAC12G12.07c,level_1
SPAC12G12.09,level_0
SPAC12G12.10,level_1
SPAC12G12.11c,level_0
SPAC12G12.12,level_0
SPAC12G12.13c,level_7
SPAC12G12.14c,level_7
SPAC12G12.15,level_0
SPAC12G12.16c,level_0
SPAC12G12.17,level_0
SPAC1327.01c,level_0
SPAC139.01c,level_0
SPAC139.02c,level_0
SPAC139.03,level_0
SPAC139.04c,level_0
SPAC139.05,level_0
SPAC139.06,level_0
SPAC1399.01c,level_0
SPAC1399.02,level_0
SPAC1399.03,level_0
SPAC1399.04c,level_0
SPAC1399.05c,level_0
SPAC13A11.01c,level_0
SPAC13A11.02c,level_8
SPAC13A11.03,level_0
SPAC13A11.04c,level_0
SPAC13A11.05,level_0
SPAC13A11.06,level_0
SPAC13C5.01c,level_9
SPAC13C5.02,level_3
SPAC13C5.03,level_0
SPAC13C5.04,level_0
SPAC13C5.05c,level_7
SPAC13C5.07,level_4
SPAC13D6.01,level_0
SPAC13D6.03c,level_1
SPAC13D6.04c,level_0
SPAC13D6.05,level_7
SPAC13F5.01c,level_0
SPAC13F5.02c,level_7
SPAC13F5.03c,level_0
SPAC13F5.05,level_0
SPAC13F5.06c,level_8
SPAC13F5.07c,level_0
SPAC13G6.01c,level_0
SPAC13G6.02c,level_3
SPAC13G6.03,level_0
SPAC13G6.05c,level_7
SPAC13G6.06c,level_0
SPAC13G6.07c,level_4
SPAC13G6.08,level_0
SPAC13G6.09,level_6
SPAC13G6.10c,level_1
SPAC13G6.11c,level_8
SPAC13G6.12c,level_0
SPAC13G6.13,level_0
SPAC13G6.14,level_0
SPAC13G7.01c,level_9
SPAC13G7.02c,level_0
SPAC13G7.04c,level_0
SPAC13G7.05,level_0
SPAC13G7.06,level_0
SPAC13G7.07,level_0
SPAC13G7.08c,level_8
SPAC13G7.09c,level_0
SPAC13G7.10,level_9
SPAC13G7.11,level_0
SPAC13G7.12c,level_1
SPAC13G7.13c,level_0
SPAC140.01,level_0
SPAC140.03,level_0
SPAC140.04,level_0
SPAC1420.01c,level_0
SPAC1420.02c,level_10
SPAC144.01,level_0
SPAC144.02,level_1
SPAC144.03,level_0
SPAC144.04c,level_1
SPAC144.05,level_0
SPAC144.06,level_1
SPAC144.07c,level_7
SPAC144.08,level_5
SPAC144.09c,level_7
SPAC144.10c,level_8
SPAC144.11,level_3
SPAC144.12,level_9
SPAC144.13c,level_4
SPAC144.14,level_0
SPAC144.15c,level_8
SPAC144.16,level_10
SPAC144.17c,level_0
SPAC144.18,level_4
SPAC144.19,level_0
SPAC1486.01,level_0
SPAC1486.02c,Miscellaneous
SPAC1486.03c,level_8
SPAC1486.04c,level_3
SPAC1486.05,level_10
SPAC1486.06,level_10
SPAC1486.08,level_1
SPAC1486.09,level_10
SPAC1486.10,level_0
SPAC1486.11,level_0
SPAC14C4.01c,level_0
SPAC14C4.02c,level_7
SPAC14C4.03,level_0
SPAC14C4.04,level_0
SPAC14C4.05c,level_0
SPAC14C4.06c,level_2
SPAC14C4.07,level_0
SPAC14C4.08,level_0
SPAC14C4.09,level_0
SPAC14C4.10c,level_0
SPAC14C4.11,level_1
SPAC14C4.12c,level_0
SPAC14C4.13,level_1
SPAC14C4.14,level_2
SPAC14C4.15c,level_0
SPAC14C4.16,level_1
SPAC1527.01,level_0
SPAC1527.02,level_1
SPAC1527.03,level_0
SPAC1556.01c,level_4
SPAC1556.02c,level_0
SPAC1556.03,level_1
SPAC1556.04c,level_0
SPAC1556.05c,level_6
SPAC1556.06,level_0
SPAC1556.07,level_11
SPAC1556.08c,level_1
SPAC1565.01,level_0
SPAC1565.02c,level_0
SPAC1565.03,level_0
SPAC1565.04c,level_0
SPAC1565.05,level_10
SPAC1565.06c,level_8
SPAC1565.07c,level_0
SPAC1565.08,level_7
SPAC15A10.01,level_4
SPAC15A10.02,level_9
SPAC15A10.03c,level_6
SPAC15A10.04c,level_10
SPAC15A10.05c,level_0
SPAC15A10.06,level_0
SPAC15A10.07,level_0
SPAC15A10.08,Miscellaneous
SPAC15A10.09c,level_0
SPAC15A10.10,level_0
SPAC15A10.11,level_0
SPAC15A10.12c,level_6
SPAC15A10.13,level_0
SPAC15A10.15,level_0
SPAC15A10.16,level_0
SPAC15E1.02c,level_0
SPAC15E1.04,level_9
SPAC15E1.05c,level_0
SPAC15E1.06,level_0
SPAC15E1.07c,level_0
SPAC15E1.08,level_3
SPAC15E1.09,level_0
SPAC15E1.10,level_0
SPAC15F9.01c,level_0
SPAC15F9.02,level_0
SPAC15F9.03c,level_10
SPAC16.01,level_0
SPAC16.02c,level_6
SPAC16.03c,level_1
SPAC16.04,level_0
SPAC16.05c,level_4
SPAC1610.01,level_2
SPAC1610.02c,level_2
SPAC1610.03c,level_0
SPAC1610.04,level_0
SPAC1635.01,level_1
SPAC1639.01c,level_0
SPAC1639.02c,level_0
SPAC167.01,level_0
SPAC167.02,level_9
SPAC167.03c,level_10
SPAC167.04,level_0
SPAC167.05,level_1
SPAC167.07c,level_0
SPAC167.08,level_0
SPAC167.09,level_7
SPAC1687.01,level_8
SPAC1687.02,level_5
SPAC1687.03c,level_6
SPAC1687.04,level_8
SPAC1687.05,level_1
SPAC1687.08,level_1
SPAC1687.09,level_0
SPAC1687.10,level_0
SPAC1687.11,level_9
SPAC1687.12c,level_1
SPAC1687.13c,level_0
SPAC1687.15,level_0
SPAC1687.16c,level_0
SPAC1687.17c,level_0
SPAC1687.18c,level_6
SPAC1687.19c,level_0
SPAC1687.20c,level_5
SPAC1687.21,level_0
SPAC1687.22c,level_0
SPAC1687.23c,level_0
SPAC16A10.01,level_0
SPAC16A10.02,level_0
SPAC16A10.03c,level_0
SPAC16A10.04,level_0
SPAC16A10.06c,level_5
SPAC16A10.07c,level_0
SPAC16A10.08c,level_0
SPAC16C9.02c,level_1
SPAC16C9.03,level_8
SPAC16C9.04c,level_3
SPAC16C9.05,level_0
SPAC16C9.06c,level_0
SPAC16C9.07,level_0
SPAC16E8.01,level_0
SPAC16E8.04c,level_9
SPAC16E8.06c,level_0
SPAC16E8.07c,level_5
SPAC16E8.08,level_0
SPAC16E8.09,level_1
SPAC16E8.10c,level_6
SPAC16E8.11c,level_8
SPAC16E8.12c,level_0
SPAC16E8.13,level_0
SPAC16E8.14c,level_0
SPAC16E8.15,level_9
SPAC16E8.16,level_10
SPAC16E8.17c,level_0
SPAC16E8.18,level_0
SPAC16E8.18c,level_0
SPAC1705.02,level_0
SPAC1705.03c,level_1
SPAC1751.01c,level_1
SPAC1751.02c,level_5
SPAC1751.03,level_9
SPAC1751.04,level_0
SPAC1782.01,level_0
SPAC1782.02c,level_0
SPAC1782.03,level_8
SPAC1782.04,level_0
SPAC1782.05,level_2
SPAC1782.06c,level_0
SPAC1782.07,level_1
SPAC1782.08c,level_0
SPAC1782.09c,level_1
SPAC1782.11,level_1
SPAC1783.01,level_0
SPAC1783.02c,level_2
SPAC1783.03,level_6
SPAC1783.04c,level_4
SPAC1783.05,level_0
SPAC1783.06c,level_0
SPAC1783.07c,level_0
SPAC1786.01c,level_0
SPAC1786.04,level_0
SPAC17A2.01,level_0
SPAC17A2.03c,level_5
SPAC17A2.04c,level_9
SPAC17A2.05,level_0
SPAC17A2.06c,level_0
SPAC17A2.08c,level_7
SPAC17A2.09c,level_0
SPAC17A2.10c,level_0
SPAC17A2.12,level_0
SPAC17A2.13c,level_0
SPAC17A2.14,level_1
SPAC17A5.01,level_0
SPAC17A5.02c,level_2
SPAC17A5.04c,level_0
SPAC17A5.05c,level_0
SPAC17A5.06,level_10
SPAC17A5.07c,level_4
SPAC17A5.08,level_0
SPAC17A5.11,level_0
SPAC17A5.12,level_8
SPAC17A5.13,level_7
SPAC17A5.14,level_5
SPAC17A5.15c,level_11
SPAC17A5.16,level_1
SPAC17A5.18c,level_0
SPAC17A5.19,level_0
SPAC17C9.01c,level_8
SPAC17C9.02c,level_0
SPAC17C9.03,level_10
SPAC17C9.05c,level_3
SPAC17C9.06,level_7
SPAC17C9.07,level_0
SPAC17C9.08,level_0
SPAC17C9.10,level_0
SPAC17C9.11c,level_0
SPAC17C9.12,level_0
SPAC17C9.13c,level_7
SPAC17C9.14,level_0
SPAC17C9.16c,level_0
SPAC17D4.01,level_0
SPAC17D4.02,level_9
SPAC17D4.03c,level_0
SPAC17D4.04,level_0
SPAC17G6.03,level_0
SPAC17G6.04c,level_4
SPAC17G6.05c,level_0
SPAC17G6.08,level_0
SPAC17G6.09,level_0
SPAC17G6.10,level_4
SPAC17G6.11c,level_8
SPAC17G6.12,level_6
SPAC17G6.13,level_0
SPAC17G6.14c,level_10
SPAC17G6.15c,level_0
SPAC17G6.16c,level_8
SPAC17G6.17,level_1
SPAC17G8.01c,level_9
SPAC17G8.02,level_0
SPAC17G8.03c,level_6
SPAC17G8.04c,level_9
SPAC17G8.05,level_1
SPAC17G8.06c,level_9
SPAC17G8.08c,level_0
SPAC17G8.09,level_0
SPAC17G8.10c,level_0
SPAC17G8.11c,level_0
SPAC17G8.12,level_1
SPAC17G8.13c,level_0
SPAC17G8.14c,level_0
SPAC17G8.15,level_5
SPAC17H9.01,level_0
SPAC17H9.02,level_4
SPAC17H9.03c,level_1
SPAC17H9.04c,level_1
SPAC17H9.05,level_8
SPAC17H9.06c,level_0
SPAC17H9.07,level_6
SPAC17H9.08,level_2
SPAC17H9.09c,level_0
SPAC17H9.10c,level_4
SPAC17H9.12c,level_1
SPAC17H9.13c,level_1
SPAC17H9.14c,level_0
SPAC17H9.17c,level_6
SPAC17H9.18c,level_0
SPAC17H9.19c,level_5
SPAC17H9.20,level_8
SPAC1805.01c,level_0
SPAC1805.03c,level_0
SPAC1805.04,level_1
SPAC1805.05,level_0
SPAC1805.06c,level_7
SPAC1805.07c,level_0
SPAC1805.08,level_0
SPAC1805.10,level_0
SPAC1805.11c,Miscellaneous
SPAC1805.12c,level_2
SPAC1805.13,level_10
SPAC1805.14,level_0
SPAC1805.15c,level_0
SPAC1805.16c,level_0
SPAC1805.17,level_10
SPAC1834.01,level_10
SPAC1834.02,level_10
SPAC1834.05,level_1
SPAC1834.06c,level_8
SPAC1834.07,level_0
SPAC1834.08,level_0
SPAC1834.09,level_0
SPAC1834.10c,level_0
SPAC1834.11c,level_11
SPAC1851.02,level_1
SPAC1851.03,level_3
SPAC1851.04c,level_4
SPAC186.01,level_1
SPAC186.02c,level_1
SPAC186.04c,level_0
SPAC186.05c,level_0
SPAC186.07c,level_0
SPAC18B11.02c,level_0
SPAC18B11.03c,level_0
SPAC18B11.04,level_0
SPAC18B11.05,level_7
SPAC18B11.06,level_11
SPAC18B11.07c,level_5
SPAC18B11.08c,level_0
SPAC18B11.09c,level_0
SPAC18B11.11,level_1
SPAC18G6.01c,level_0
SPAC18G6.02c,level_0
SPAC18G6.03,level_10
SPAC18G6.05c,level_1
SPAC18G6.07c,level_9
SPAC18G6.10,level_1
SPAC18G6.11c,level_11
SPAC18G6.13,level_0
SPAC18G6.15,level_0
SPAC1952.01,level_9
SPAC1952.03,level_0
SPAC1952.04c,level_0
SPAC1952.05,level_3
SPAC1952.06c,level_0
SPAC1952.07,level_1
SPAC1952.09c,level_0
SPAC1952.10c,level_0
SPAC1952.12c,level_0
SPAC1952.13,level_8
SPAC1952.14c,level_5
SPAC1952.15c,level_0
SPAC1952.16,level_0
SPAC1952.17c,level_1
SPAC19A8.01c,level_0
SPAC19A8.02,level_0
SPAC19A8.03,level_0
SPAC19A8.04,level_0
SPAC19A8.05c,level_0
SPAC19A8.06,level_10
SPAC19A8.07c,level_9
SPAC19A8.08,level_1
SPAC19A8.09,level_10
SPAC19A8.10,level_0
SPAC19A8.11c,level_3
SPAC19A8.12,level_6
SPAC19A8.13,level_8
SPAC19A8.14,level_0
SPAC19A8.15,level_10
SPAC19A8.16,level_0
SPAC19B12.01,level_9
SPAC19B12.02c,level_9
SPAC19B12.03,level_9
SPAC19B12.05c,level_7
SPAC19B12.06c,level_0
SPAC19B12.07c,level_0
SPAC19B12.08,level_0
SPAC19B12.09,level_5
SPAC19B12.10,level_0
SPAC19D5.01,level_0
SPAC19D5.03,level_0
SPAC19D5.04,level_9
SPAC19D5.06c,level_0
SPAC19D5.07,level_0
SPAC19D5.11c,level_0
SPAC19E9.01c,level_1
SPAC19E9.02,level_0
SPAC19E9.03,level_0
SPAC19G12.01c,level_7
SPAC19G12.02c,level_0
SPAC19G12.03,level_0
SPAC19G12.04,level_0
SPAC19G12.05,level_0
SPAC19G12.07c,level_6
SPAC19G12.08,level_2
SPAC19G12.09,level_0
SPAC19G12.10c,level_0
SPAC19G12.11,level_1
SPAC19G12.12,level_1
SPAC19G12.13c,level_0
SPAC19G12.14,level_10
SPAC19G12.15c,level_0
SPAC19G12.16c,level_0
SPAC19G12.17,level_0
SPAC1A6.01c,level_0
SPAC1A6.03c,level_0
SPAC1A6.04c,level_0
SPAC1A6.05c,level_0
SPAC1A6.06c,level_0
SPAC1A6.08c,level_0
SPAC1A6.09c,level_0
SPAC1A6.10,level_0
SPAC1A6.11,level_0
SPAC1B1.01,level_8
SPAC1B1.02c,level_0
SPAC1B1.03c,level_10
SPAC1B1.04c,level_1
SPAC1B2.02c,level_1
SPAC1B2.03c,level_8
SPAC1B2.04,level_1
SPAC1B2.05,level_9
SPAC1B3.01c,level_0
SPAC1B3.03c,level_2
SPAC1B3.04c,level_0
SPAC1B3.05,level_1
SPAC1B3.06c,level_0
SPAC1B3.07c,level_0
SPAC1B3.08,level_0
SPAC1B3.09c,level_9
SPAC1B3.10c,level_0
SPAC1B3.11c,level_0
SPAC1B3.13,level_9
SPAC1B3.14,level_6
SPAC1B3.15c,level_0
SPAC1B3.16c,level_4
SPAC1B3.18c,level_5
SPAC1B3.20,level_0
SPAC1B9.02c,level_0
SPAC1B9.03c,level_11
SPAC1D4.01,level_0
SPAC1D4.02c,level_0
SPAC1D4.03c,level_0
SPAC1D4.04,level_9
SPAC1D4.05c,level_0
SPAC1D4.06c,level_1
SPAC1D4.08,level_9
SPAC1D4.09c,level_0
SPAC1D4.10,level_8
SPAC1D4.11c,level_1
SPAC1D4.12,level_7
SPAC1D4.13,level_0
SPAC1D4.14,level_8
SPAC1F12.02c,level_1
SPAC1F12.05,level_0
SPAC1F12.06c,level_0
SPAC1F12.08,level_7
SPAC1F12.09,level_8
SPAC1F12.10c,level_1
SPAC1F3.01,level_6
SPAC1F3.02c,level_0
SPAC1F3.03,level_1
SPAC1F3.04c,level_7
SPAC1F3.05,level_0
SPAC1F3.06c,level_0
SPAC1F3.07c,level_2
SPAC1F3.08c,level_0
SPAC1F3.09,level_0
SPAC1F3.10c,level_5
SPAC1F5.02,level_4
SPAC1F5.03c,level_0
SPAC1F5.04c,level_7
SPAC1F5.06,level_9
SPAC1F5.07c,level_0
SPAC1F5.08c,level_0
SPAC1F5.09c,level_0
SPAC1F5.10,level_7
SPAC1F5.11c,level_5
SPAC1F7.01c,level_6
SPAC1F7.02c,level_10
SPAC1F7.03,level_10
SPAC1F7.04,level_10
SPAC1F7.05,level_9
SPAC1F7.08,level_0
SPAC1F7.09c,level_0
SPAC1F7.10,level_0
SPAC1F7.11c,level_1
SPAC1F7.12,level_0
SPAC1F7.14c,level_0
SPAC1F8.01,level_1
SPAC1F8.02c,level_0
SPAC1F8.03c,level_0
SPAC1F8.04c,level_0
SPAC1F8.05,Miscellaneous
SPAC1F8.06,level_0
SPAC1F8.07c,level_10
SPAC1F8.08,level_0
SPAC20G4.01,level_0
SPAC20G4.02c,level_0
SPAC20G4.03c,level_0
SPAC20G4.04c,level_0
SPAC20G4.05c,level_0
SPAC20G4.07c,level_2
SPAC20G4.08,level_0
SPAC20G4.09,level_0
SPAC20G8.01,level_9
SPAC20G8.02,Miscellaneous
SPAC20G8.03,level_8
SPAC20G8.04c,level_0
SPAC20G8.05c,level_7
SPAC20G8.06,level_7
SPAC20G8.07c,level_7
SPAC20G8.08c,level_0
SPAC20G8.09c,level_9
SPAC20G8.10c,level_0
SPAC20H4.01,level_9
SPAC20H4.02,level_0
SPAC20H4.03c,level_0
SPAC20H4.04,level_0
SPAC20H4.05c,level_0
SPAC20H4.06c,level_0
SPAC20H4.07,level_3
SPAC20H4.08,level_0
SPAC20H4.09,level_0
SPAC20H4.10,level_1
SPAC20H4.11c,level_0
SPAC212.12,level_0
SPAC21E11.04,level_0
SPAC21E11.05c,level_0
SPAC21E11.06,level_10
SPAC21E11.07,level_3
SPAC21E11.08,level_10
SPAC222.03c,level_5
SPAC222.04c,level_2
SPAC222.05c,level_0
SPAC222.06,level_9
SPAC222.07c,level_0
SPAC222.08c,level_3
SPAC222.09,level_9
SPAC222.10c,level_9
SPAC222.11,level_6
SPAC222.12c,level_2
SPAC222.13c,level_0
SPAC222.14c,level_1
SPAC222.15,level_0
SPAC222.16c,level_0
SPAC222.17,level_0
SPAC227.01c,level_4
SPAC227.05,level_2
SPAC227.08c,level_8
SPAC227.09,level_6
SPAC227.10,level_0
SPAC227.11c,level_0
SPAC227.12,level_8
SPAC227.13c,level_9
SPAC227.14,level_0
SPAC227.15,level_0
SPAC227.16c,level_8
SPAC227.17c,level_1
SPAC227.18,level_0
SPAC227.19c,level_8
SPAC22A12.01c,level_1
SPAC22A12.02c,level_0
SPAC22A12.03c,Miscellaneous
SPAC22A12.04c,level_6
SPAC22A12.06c,level_0
SPAC22A12.07c,level_0
SPAC22A12.08c,level_4
SPAC22A12.09c,level_9
SPAC22A12.10,level_0
SPAC22A12.11,level_0
SPAC22A12.12c,level_9
SPAC22A12.14c,level_0
SPAC22A12.15c,level_9
SPAC22A12.16,level_0
SPAC22A12.17c,level_0
SPAC22E12.01,level_0
SPAC22E12.02,level_8
SPAC22E12.03c,level_0
SPAC22E12.04,level_3
SPAC22E12.08,level_6
SPAC22E12.09c,level_6
SPAC22E12.10c,level_7
SPAC22E12.11c,level_0
SPAC22E12.13c,level_9
SPAC22E12.16c,level_10
SPAC22E12.17c,level_10
SPAC22E12.18,level_4
SPAC22E12.19,level_1
SPAC22F3.03c,level_0
SPAC22F3.04,level_0
SPAC22F3.05c,level_7
SPAC22F3.06c,level_1
SPAC22F3.07c,level_0
SPAC22F3.08c,level_3
SPAC22F3.09c,level_1
SPAC22F3.10c,level_2
SPAC22F3.11c,level_9
SPAC22F3.12c,level_0
SPAC22F3.13,level_2
SPAC22F3.15,level_0
SPAC22F8.02c,level_0
SPAC22F8.03c,level_0
SPAC22F8.04,level_1
SPAC22F8.05,level_0
SPAC22F8.06,level_9
SPAC22F8.07c,level_1
SPAC22F8.08,level_10
SPAC22F8.09,level_1
SPAC22F8.10c,level_8
SPAC22F8.11,level_8
SPAC22F8.12c,level_0
SPAC22G7.01c,level_0
SPAC22G7.02,Miscellaneous
SPAC22G7.03,level_0
SPAC22G7.04,level_1
SPAC22G7.05,level_9
SPAC22G7.06c,level_2
SPAC22G7.07c,level_0
SPAC22G7.08,level_0
SPAC22G7.09c,level_8
SPAC22G7.10,level_8
SPAC22H10.03c,level_1
SPAC22H10.05c,level_9
SPAC22H10.06c,level_0
SPAC22H10.07,level_0
SPAC22H10.08,level_0
SPAC22H10.09,level_0
SPAC22H10.10,level_8
SPAC22H10.11c,level_4
SPAC22H10.12c,level_9
SPAC22H12.01c,level_0
SPAC22H12.02,level_1
SPAC22H12.03,level_0
SPAC22H12.04c,level_9
SPAC22H12.05c,level_2
SPAC23A1.02c,level_0
SPAC23A1.03,level_1
SPAC23A1.04c,level_0
SPAC23A1.05,level_8
SPAC23A1.06c,level_0
SPAC23A1.07,level_0
SPAC23A1.08c,level_9
SPAC23A1.10,level_0
SPAC23A1.12c,level_11
SPAC23A1.14c,level_0
SPAC23A1.15c,level_9
SPAC23A1.17,level_0
SPAC23A1.18c,level_5
SPAC23A1.19c,level_1
SPAC23A1.20,level_0
SPAC23C11.01,level_0
SPAC23C11.03,level_10
SPAC23C11.04c,level_1
SPAC23C11.05,level_10
SPAC23C11.06c,level_0
SPAC23C11.07,level_0
SPAC23C11.09,level_10
